latitude,longitude,value
40.0439,-76.1125,11.1
43.4683,-112.053101,6.7
20.7808,-156.4461,2.5
37.1314,-86.1481,7.8
42.298302,-72.334396,8.2
42.2781,-85.5419,8.7
41.995602,-83.946701,19.6
30.39,-89.0497,6.9
38.650259,-90.350463,9.5
40.462181,-74.429436,12.2
47.1858,-101.4281,19.3
39.83562,-84.72049,12.6
35.612801,-97.472198,15.9
40.0467,-76.2833,7.3
35.9803,-83.9306,6.7
38.9847,-75.5556,7.3
38.895683,-76.958089,6.8
32.8031,-83.5447,5.9
33.9636,-84.0664,NA
42.876701,-112.460297,8
37.7011,-97.3139,13.1
37.0581,-88.5725,10.3
37.4828,-82.5353,7.4
30.0411,-90.2728,3.1
42.474701,-70.971901,6.9
42.194401,-72.555603,1.5
37.70097,-94.03474,12.2
38.448581,-90.398436,8.2
41.2474,-95.9731,7.1
44.52612,-109.016733,3.2
47.568236,-122.308628,4
32.565,-96.3175,18.2
37.7064,-85.8517,7.3
36.206699,-95.976402,23.1
40.0845,-82.81552,9.4
36.1092,-79.8011,5.8
41.529999,-90.587502,15.9
33.4997,-86.9242,9.8
47.562,-122.3405,NA
39.9233,-77.3081,7.2
32.0036,-106.5992,6.2
38.656449,-90.198548,NA
27.4269,-97.2986,12.7
52.1342,-122.1528,16.1
33.4347,-84.1617,4.7
44.089355,-70.214134,5.1
49.28083,-122.84917,5.3
30.1783,-82.6192,9.8
40.136398,-111.660202,9.6
44.789398,-93.512497,3.1
47.029301,-122.821503,6.6
36.1589,-98.9353,8.1
30.2603,-81.4533,14.3
44.9536,-93.2581,3.6
45.55,-94.1333,6.6
53.9147,-122.7419,25.7
54.7831,-127.1775,13.9
36.048705,-115.052942,7.7
38.8386,-94.7464,3.6
43.74436,-122.480506,29.7
37.7486,-119.5869,5
37.9604,-122.3571,13.8
44.104498,-115.972386,6.1
35.8142,-80.2633,NA
42.1941,-122.7086,3
45.542767,-73.572039,9.2
45.512189,-73.566872,6.8
35.912487,-82.062082,8.6
34.91263,-80.874283,5.1
47.940861,-101.571583,8.9
39.831921,-89.644164,10.5
37.747445,-113.055524,9.3
37.701222,-121.903019,16.9
60.79583,-161.767,8.5
44.1158,-123.12107,6.5
40.052241,-88.372549,11
46.8505,-111.987164,5.3
47.012907,-114.224273,22.3
41.133317,-95.956078,6.4
20.67495,-101.35595000000001,12.7
32.884761,-112.03705,28.3
26.131256,-80.167847,6.2
45.468297,-73.741185,9.1
45.539928,-73.540388,NA
40.7955,-111.9309,8.4
39.621462,-119.718738,5.6
32.310332,-106.751211,5.9
39.9603,-75.1424,5.5
37.962069,-119.120278,3.3
47.38443,-94.60166,9.7
32.437028,-84.999653,4.9
42.76138,-84.562867,12.3
47.498535,-122.278385,12.8
42.612113,-71.307519,5.6
42.312078,-83.103469,23.6
41.867336,-75.686602,9
45.3092,-66.0092,4.2
46.035,-74.4819,1.7
45.4322,-75.6764,6.6
34.6917,-86.591698,7.1
33.560299,-112.066299,7.4
39.2031,-122.0169,4
34.1439,-117.8508,8.2
37.9722,-122.5189,12.4
39.3386,-120.170303,21.5
33.999449,-117.415831,15.6
34.10366,-117.629096,9
34.637798,-120.456703,3.2
34.21,-118.8694,17.8
41.4014,-73.4447,8
43.3306,-81.7425,6.1
33.8017,-86.9425,7
33.483799,-112.142601,11.8
38.2019,-120.680603,5.8
35.356667,-119.062778,19.2
38.7458,-121.2653,5.2
30.128901,-85.738098,8.8
27.8928,-82.5383,8.7
42.1406,-87.7994,6.9
42.2211,-88.2411,9
52.9822,-122.4922,26.9
32.25,-110.9667,6.2
45.04,-64.29,9
44.3922,-79.3922,7.3
44.1503,-77.3956,3.9
45.652231,-118.823033,18.3
53.5472,-113.3681,14.4
55.1964,-119.3967,2.5
57.1889,-111.6406,2.4
46.933601,-96.854698,6.7
39.0828,-84.1441,6
40.366452,-80.615691,22.8
46.8153,-117.8739,3.2
44.943114,-123.005934,4.4
46.3944,-94.1433,10.5
30.3008,-89.395798,6.4
45.426351,-117.296066,13.6
36.0261,-80.3419,8.3
39.92882,-83.80949,5.4
43.5714,-83.8908,12.7
46.6964,-68.033096,5.1
52.1361,-106.6631,13.9
44.61569,-123.091457,3.2
33.4265,-112.1181,7.7
47.9721,-89.6908,4.8
27.811814,-97.4657,8.6
43.557613,-103.483658,3.3
47.3167,-116.570297,14.4
29.332803,-98.551396,9.9
40.164585,-105.100861,6.4
41.3536,-72.0789,4.5
46.2406,-63.1306,11.6
39.0217,-84.4744,10.2
43.660248,-70.268967,6.9
19.717562,-155.110535,1.1
30.4293,-90.199700000000007,4.6
49.8891,-124.5625,0.9
41.578603,-87.557392,11.6
29.170799,-82.1008,14.2
28.5997,-81.3628,11.2
28.0903,-82.7008,8.8
33.6906,-84.2731,5.7
41.6175,-87.1992,17
39.4861,-87.4014,23.9
30.2625,-93.285,12.9
39.462002,-76.631599,5.8
39.41,-76.2967,NA
42.2283,-83.2092,14.5
39.303056,-94.376389,3.7
39.422272,-75.0252,8.4
45.1425,-93.2139,7.6
39.741667,-94.858333,10
38.75961,-94.57983,7.5
40.283092,-74.742645,4.6
35.856098,-78.574203,15.3
40.3097,-78.9158,13
40.1122,-75.3092,8.1
40.4447,-80.42,13
34.805,-83.237503,4.9
34.093899,-80.962196,6.1
48.875,-123.65,10.2
39.0242,-95.7114,7.5
47.5988,-120.6647,6.9
45.61394,-61.36235,7.9
34.3003,-83.8139,7
41.9767,-91.6878,8.5
42.5275,-108.7203,5.3
43.54792,-96.700768,4.5
